How many times a week do you exercise?,How many times a week do you wash your hair?,Allergies?,Assigned to groups?,Linear Math?,"Of the dozen colors, what is your hair color?",Longest Hair Length?,"Of the dozen colors, what is your eye color?",How many NameSpace colors?,Star Wars Question,Winnie The Pooh,School Club?,Life the Universe and Everything?,Name of Computer,Combination to Air Shield,Airspeed of Swallow,Favorite Variety of Cookie?,Favorite flavor of ice cream?,Most Favorite Pizza Topping?,Least Favorite Pizza Topping?,Favorite computer language of those options?,Avg HRS SLEEP,Breakfast Drink,Usual night sleep,Median Sleep,Loaded Question: Watching Sports,Cup Mouth Down or Up?,Elevator Usage?,Left or right foot going up stairs?,Raise one eyebrow?,Vulcan sign of greeting?,Wiggle Ears?,Wiggle Ears Separately?,Watch Hand?,Right or left Footed?  Going up Stairs?,Shirt Color now?,How do you like your eggs?,Can you Juggle?,Skydiver?,Shave Frequency?,Like Dressing Up?,Can you tie a mens tie?,French Braid Hair?,Snack Food Preference?,Glasses of Water?,Do you wear glasses?,Eye lens issues?,Toilet Paper Roll Out Over Front,Do you have a pet?,Are you a dog person?,Rat Person?,Turtle Person?,Like to play Music?,Like Baking?,Like Wood Working?,Sewing?,Gardening?,Photography?,Electronics?,Building Boats?,Doll Houses?,Making Engines?,Making Miniatures?,Raising Chickens?,Horseback riding?,Teaching Others?,Helping Children?,Playing Cards?,Playing Computer Games?,Watching Movies?,Poetry?,Shopping?,What order do you put your socks and pants on?,WantAssignmentToGroup,Watch Hand?.1
3,7,No,yes,True,Black,SixUnder,Black,12,force,pooh,ncc,42,deep thought,12345,24mph,Chocolate chip,peanut butter pretzel,ham,hamburger,JavaScript,8,milk,10,8,More than average,Mouth down,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Omlette,yes,no,Once a week,Yes,Full Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,pants before socks,yes,left
5,3_to_4,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,roasted almond,mushrooms,cheese,JavaScript,6,coffee,6,6,More than average,Mouth up,the stairs are always faster.,right,no,yes,no,no,right,right,red,Omlette,no,no,Twice a week,Yes,Full Windsor,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,7,No,no,True,Black,SixUnder,Brown,12,force,pooh&pals,none,42,deep thought,12345,24mph,Chocolate chip,strawberry,mushrooms,cheese,JavaScript,7,water,7,N/A,Not at all,Mouth up,the stairs are always faster.,right,no,no,yes,no,left,right,blue,Fried,no,no,Twice a week,Yes,Half Windsor,No,bacon,3 to 4,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate chips,cheese,onions,JavaScript,6,milk,6,6,More than average,Mouth down,the stairs are always faster.,right,no,no,no,no,left,right,red,Hate eggs,no,no,Once a week,No,Half Windsor,No,bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the back,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,yes,True,Black,SixUnder,Brown,12,force,pooh,trivia,42,deep thought,12345,25,Chocolate chip,vanilla,olives,pepperoni,JavaScript,7,milk,8,7,About average,Mouth down,the stairs are always faster.,ambidextrous,no,yes,no,no,left,right,blue,Scrambled,no,no,Once a week,No,No,No,popcorn,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,yes,left
2,5_to_6,No,no,True,Black,SixToTen,Brown,12,force,pooh,overly dramatic club,42,deep thought,12345,24mph,Chocolate chip,cookies and cream,onions,cheese,JavaScript,7,milk,6,6,More than average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,yes,no,Twice a week,No,Half Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,1,No,no,False,Brown,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,strawberry,onions,bacon,JavaScript,7,fruit juice,7,7,About average,Mouth up,Wait. There is an elevator in the building?,right,no,no,no,no,right,right,orange,Hate eggs,no,no,Twice a week,No,Full Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
2,7,Pollens,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,mint,onions,pepperoni,JavaScript,6,milk,6,6,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,red,Scrambled,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,carrots and cellery,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,right
3,3_to_4,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,onions,anchovies,JavaScript,6,milk,8,6,A lot more than average,Mouth down,the stairs are always faster.,right,no,yes,no,no,left,right,white,Omlette,no,no,Once a week,Yes,No,No,carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
2,3_to_4,Scents,no,True,Black,SixUnder,Black,12,force,pooh,science,42,earth,12345,24mph,Chocolate chip,chocolate,onions,spinach,JavaScript,7,tea,8,6.5,More than average,Mouth down,the stairs are always faster.,right,no,yes,yes,no,right,left,blue,Hate eggs,yes,no,Once a week,No,No,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
3,3_to_4,No,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,onions,pineapples,JavaScript,6-7,water,6-7,6,About average,Mouth up,the stairs are always faster.,right,no,yes,no,no,left,left,blue,Omlette,no,no,Twice a week,Yes,Full Windsor,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,5_to_6,No,yes,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Chocolate chip,vanilla,onions,anchovies,JavaScript,5.5,water,6,5,Not at all,Mouth up,the stairs are always faster.,right,yes,yes,yes,no,left,right,red,Scrambled,no,no,Once a day,Yes,Full Windsor,No,tortilla chips,1 to 2,"No, not yet.","I have perfect vision, so far.",out over the front,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,left
3,2,No,yes,True,Black,SixUnder,Black,12,force,pooh,math,42,deep,12345,african or european swallow?,Chocolate chip,chocolate,pepperoni,pineapples,JavaScript,7,melted icecream,7,6,Somewhat,Mouth up,the stairs are always faster.,right,no,no,no,no,left,right,green,Scrambled,no,no,Once a week,No,No,No,tortilla chips,1 to 2,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,socks before pants,yes,left
4,7,Pollens,yes,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,pepperoni,pineapples,JavaScript,7,milk,8,7,Not at all,Mouth up,the stairs are always faster.,right,no,yes,no,no,left,left,blue,Omlette,no,no,Once a week,Yes,No,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,right
3,7,No,no,True,Black,SixUnder,Black,12,force,pooh,socialservice,42,deep thought,12345,24mph,Chocolate chip,chocolate,peppers,anchovies,JavaScript,8,milk,8,8,Somewhat,Mouth up,Wait. There is an elevator in the building?,right,no,yes,no,no,left,left,blue,Omlette,no,no,Shave? Never touch the stuff!,Yes,No,No,bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
3,2,No,yes,True,Black,OverFifteen,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,peppers,black olives,JavaScript,6,tea,6,6,About average,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,right,pink,Omlette,no,no,Once a week,Yes,Half Windsor,Yes,popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,2,No,yes,True,Black,SixToTen,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,mint chocolate,pineapples,mushrooms,JavaScript,7,coffee,7-8,6,Somewhat,Mouth up,the stairs are always faster.,right,yes,yes,yes,no,right,left,green,Omlette,no,no,Once a week,No,No,Yes,popcorn,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,pants before socks,yes,left
0,3_to_4,No,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,sausage,pineapples,JavaScript,8,milk,8,8,More than average,Mouth up,the stairs are always faster.,right,no,yes,no,no,left,left,black,Scrambled,yes,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,no,right
5,5_to_6,Pollens,no,True,Black,SixUnder,Black,12,force,pooh,debatable,42,deep thought,12345,african or european swallow?,Double chocolate,coffee,mushrooms,pineapples,JavaScript,9,water,9,9,Not at all,Mouth down,the stairs are always faster.,ambidextrous,no,yes,yes,no,left,left,gray,Omlette,no,yes,Twice a week,Yes,Half Windsor,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,pants before socks,no,right
6,3_to_4,Pollens,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,mango,mushrooms,pineapples,JavaScript,7,water,7,7,Not at all,Mouth up,the stairs are always faster.,right,yes,yes,yes,yes,left,left,gray,Hate eggs,yes,no,Once a week,Yes,Half Windsor,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,left
5,2,No,no,True,Brown,OverTen,Black,12,force,pooh,science,42,deep thought,12345,24mph,Double chocolate,chocolate,cheese,spinach,JavaScript,10,milk,10,10,Not at all,Mouth down,I always ride the elevator.,right,no,no,no,no,left,right,white,Hate eggs,no,no,Shave? Never touch the stuff!,Yes,Half Windsor,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
5,3_to_4,No,no,True,Brown,OverTen,Brown,12,force,pooh,science,42,deep thought,12345,24mph,Double chocolate,chocolate,cheese,pineapples,JavaScript,10,tea,10,10,Not at all,Mouth down,I always ride the elevator.,right,yes,yes,no,no,right,right,white,Hate eggs,no,no,Once a week,Yes,Full Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
3,2,Scents,yes,True,Black,OverFifteen,Black,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,chocolate,olives,pineapples,JavaScript,7,water,7,6.5,About average,Mouth up,the stairs are always faster.,right,yes,yes,yes,no,left,right,black,Fried,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,Yes,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,pants before socks,yes,left
3,3_to_4,No,no,True,Black,SixUnder,Brown,12,force,pooh,un,42,deep thought,12345,african or european swallow?,Double chocolate,chocolate (belgian preferred),onions,pineapples,JavaScript,6,coffee,6,6,About average,Mouth down,Wait. There is an elevator in the building?,right,yes,yes,yes,no,right,right,red,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,right
4,2,No,no,False,Brown,OverTen,Black,12,force,pooh,community,42,deep thought,12345,24mph,Double chocolate,chocolate,onions,pepperoni,ASSEMBLY (Intel or Motorola),6,melted icecream,6,6,Somewhat,Mouth down,I usually ride the elevator.,right,no,no,no,no,left,right,white,Omlette,no,no,Once a week,Yes,Half Windsor,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,chocolate,onions,mushrooms,JavaScript,7,tea,7,7,A lot more than average,Mouth down,the stairs are always faster.,right,no,no,no,no,right,right,white,Hate eggs,no,no,Shave? Never touch the stuff!,No,No,No,carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
2,3_to_4,Pollens,no,True,Black,OverFifteen,Black,13,force,pooh,chess,42,deep thought,12345,15 beats per second,Double chocolate,chocolate,pineapples,mushrooms,JavaScript,7,coffee,7,4,Somewhat,Mouth up,I always ride the elevator.,right,no,yes,no,no,right,left,black,Omlette,no,no,Once a week,Yes,No,Yes,bacon,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,pants before socks,no,right
3,2,No,no,True,Black,OverTen,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,butterscotch,pineapples,spinach,JavaScript,7,water,7,7,Somewhat,Mouth up,I usually ride the elevator.,right,no,no,no,no,left,right,blue,Omlette,no,no,Once a week,No,No,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
4,3_to_4,Pollens,no,True,Black,SixUnder,Brown,12,force,pooh,spacecadet,42,deep thought,12345,24mph,I dont like cookies. They are crumby.,green tea,pineapples,mushrooms,PERL,6,tea,6,7,More than average,Mouth down,the stairs are always faster.,right,yes,yes,no,no,right,left,red,Scrambled,no,no,Shave? Never touch the stuff!,No,Full Windsor,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,socks before pants,no,right
1,7,Pollens,yes,True,Black,OverTen,Brown,12,force,pooh,none,42,deep thought,12345,20.1 mph,I prefer not to answer.,matcha,pineapples,spinach,PASCAL,8,coffee,10,8,Not at all,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,left,blue,Omlette,no,no,Shave? Never touch the stuff!,No,Half Windsor,Yes,tortilla chips,1 to 2,"No, not yet.","I have perfect vision, so far.",out over the front,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,3_to_4,No,no,True,Brown,SixUnder,Green,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Macadamia nut,reeses,mushrooms,shrimp,JavaScript,6.5,fruit juice,6.5,6,Not at all,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,right,gray,Omlette,no,no,Once a week,Yes,Half Windsor,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,right
4,2,No,yes,True,Black,SixUnder,Brown,12,force,pooh,gamedev,42,deep thought,12345,24mph,Macadamia nut,dark chocolate,cheese,cheese,JavaScript,7,water,7,7,About average,Mouth down,the stairs are always faster.,right,yes,yes,yes,yes,left,right,black,Omlette,yes,no,Once a week,Yes,No,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,pants before socks,yes,left
3,5_to_6,No,yes,True,Black,SixUnder,Brown,12,force,pooh,deca,42,deep thought,12345,african or european swallow?,Macadamia nut,cookies and cream,pepperoni,anchovies,JavaScript,7,water,7,7,A lot more than average,Mouth up,I usually ride the elevator.,right,no,yes,yes,no,left,left,white,Omlette,no,no,Twice a week,Yes,Half Windsor,No,tortilla chips,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,left
3,3_to_4,No,no,True,Black,OverTen,Green,12,force,pooh,math,42,deep thought,12345,24mph,Oatmeal raisin,mango,mushrooms,pineapples,JavaScript,7,coffee,7,6,More than average,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,right,pink,Omlette,no,no,Shave? Never touch the stuff!,Yes,No,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,pants before socks,no,right
5,2,No,yes,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,20.1 mph,Oatmeal raisin,vanilla,cheese,spinach,JavaScript,6,coffee,6,6,A lot more than average,Mouth up,the stairs are always faster.,right,no,yes,no,no,right,right,blue,Hate eggs,yes,no,Once a week,Yes,Half Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,right
1,7,Pollens,yes,True,Brown,SixUnder,Brown,12,force,pooh,music,42,deep thought,12345,african or european swallow?,Oatmeal raisin,french vanilla,olives,onions,JavaScript,8,orange juice,8,8,Not at all,Mouth up,I usually ride the elevator.,right,no,yes,no,no,right,right,black,Fried,no,yes,Twice a week,Yes,Half Windsor,No,popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,pants before socks,yes,right
1,1,No,yes,True,Brown,SixToTen,Brown,12,force,pooh,ncc,42,deep thought,12345,24mph,Oatmeal raisin,butterscotch,onions,spinach,JavaScript,6,water,7,6.5,Somewhat,Mouth down,the stairs are always faster.,right,no,yes,no,no,left,right,black,Hate eggs,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,pants before socks,yes,left
2,1,Scents,yes,True,Black,SixUnder,Black,12,force,pooh,science,42,deep thought,12345,24mph,Oatmeal raisin,cookie dough,peppers,hamburger,JavaScript,7,tea,7,7,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,right,right,gray,Hate eggs,no,no,Once a week,No,No,No,tortilla chips,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,pants before socks,yes,right
3,7,No,yes,True,Black,SixUnder,Black,12,force,pooh,art,42,deep thought,12345,african or european swallow?,Peanut butter,vanilla,onions,pineapples,JavaScript,6,milk,6,6,About average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,no,no,Twice a week,Yes,Full Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,pants before socks,yes,left
4,3_to_4,No,yes,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Sugar cookies,chocolate,mushrooms,pineapples,Ruby,7,milk,7,7,More than average,Mouth down,the stairs are always faster.,right,no,yes,no,no,left,right,gray,Omlette,yes,no,Once a week,Yes,Full Windsor,No,tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,pants before socks,yes,left
7,3_to_4,Pollens,yes,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,chocolate,olives,pineapples,JavaScript,8,tea,8,8,Somewhat,Mouth down,the stairs are always faster.,right,yes,yes,no,no,right,right,gray,Omlette,no,no,Once a week,Yes,Full Windsor,No,tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,pants before socks,yes,right
4,7,Pollens,yes,True,Black,SixToTen,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Sugar cookies,cookies and cream,peppers,anchovies,JavaScript,7,sports drink,7,7,Somewhat,Mouth down,the stairs are always faster.,right,no,yes,no,no,left,right,blue,Omlette,no,no,Shave? Never touch the stuff!,Yes,No,No,popcorn,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,yes,left
1,3_to_4,Pollens,no,True,Black,OverFifteen,Brown,12,force,pooh,robotics,42,deep thought,12345,african or european swallow?,Macadamia nut,pistachio,mushrooms,black olives,JavaScript,7,coffee,7,7,Not at all,Mouth up,the stairs are always faster.,right,yes,yes,no,no,left,right,green,Omlette,no,no,Once a week,No,No,No,popcorn,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,pants before socks,no,left
